Year,Month,Day,Hour,Minute,Cloud Type,Dew Point,Temperature,Pressure,Relative Humidity,Solar Zenith Angle,Precipitable Water,Wind Direction,Wind Speed,Fill Flag,Clearsky DHI,Clearsky DNI,Clearsky GHI,Latitude,Longitude
2011,1,28,12,0,3,13.5,3.2,-23,79.3,-94.45,0.51,189,2.3,0,0,0,0,71,-156
2011,2,28,12,0,3,13.5,1.2,-21,79.3,-94.45,1.59,189,2.3,0,0,0,0,71,-156
2011,3,28,12,0,3,13.5,1.3,-21,79.3,-94.45,0.71,189,2.3,0,0,0,0,71,-156
2011,4,28,12,0,3,13.5,8.3,-18,79.3,-94.45,0.06,189,2.3,0,0,0,0,71,-156
2011,5,28,12,0,3,13.5,5.3,-5,79.3,-94.45,0.26,189,2.3,0,0,0,0,71,-156
2011,6,28,12,0,3,13.5,1.8,1,79.3,-94.45,1.37,189,2.3,0,0,0,0,71,-156
2011,7,28,12,0,3,13.5,5.5,5,79.3,-94.45,2.97,189,2.3,0,0,0,0,71,-156
2011,8,28,12,0,3,13.5,5.6,5,79.3,-94.45,2.12,189,2.3,0,0,0,0,71,-156
2011,9,28,12,0,3,13.5,2.6,2,79.3,-94.45,2.38,189,2.3,0,0,0,0,71,-156
2011,10,28,12,0,3,13.5,5.1,-5,79.3,-94.45,2.87,189,2.3,0,0,0,0,71,-156
2011,11,28,12,0,3,13.5,7.9,-17,79.3,-94.45,0.6,189,2.3,0,0,0,0,71,-156
2011,12,28,12,0,3,13.5,3.1,-23,79.3,-94.45,1.56,189,2.3,0,0,0,0,71,-156
2012,1,28,12,0,3,13.5,3.2,-23,79.3,-94.45,0.51,189,2.3,0,0,0,0,71,-156
2012,2,28,12,0,3,13.5,1.2,-21,79.3,-94.45,1.59,189,2.3,0,0,0,0,71,-156
2012,3,28,12,0,3,13.5,1.3,-21,79.3,-94.45,0.71,189,2.3,0,0,0,0,71,-156
2012,4,28,12,0,3,13.5,8.3,-18,79.3,-94.45,0.06,189,2.3,0,0,0,0,71,-156
2012,5,28,12,0,3,13.5,5.3,-5,79.3,-94.45,0.26,189,2.3,0,0,0,0,71,-156
2012,6,28,12,0,3,13.5,1.8,1,79.3,-94.45,1.37,189,2.3,0,0,0,0,71,-156
2012,7,28,12,0,3,13.5,5.5,5,79.3,-94.45,2.97,189,2.3,0,0,0,0,71,-156
2012,8,28,12,0,3,13.5,5.6,5,79.3,-94.45,2.12,189,2.3,0,0,0,0,71,-156
2012,9,28,12,0,3,13.5,2.6,2,79.3,-94.45,2.38,189,2.3,0,0,0,0,71,-156
2012,10,28,12,0,3,13.5,5.1,-5,79.3,-94.45,2.87,189,2.3,0,0,0,0,71,-156
2012,11,28,12,0,3,13.5,7.9,-17,79.3,-94.45,0.6,189,2.3,0,0,0,0,71,-156
2012,12,28,12,0,3,13.5,3.1,-23,79.3,-94.45,1.56,189,2.3,0,0,0,0,71,-156
2013,1,28,12,0,3,13.5,3.2,-23,79.3,-94.45,0.51,189,2.3,0,0,0,0,71,-156
2013,2,28,12,0,3,13.5,1.2,-21,79.3,-94.45,1.59,189,2.3,0,0,0,0,71,-156
2013,3,28,12,0,3,13.5,1.3,-21,79.3,-94.45,0.71,189,2.3,0,0,0,0,71,-156
2013,4,28,12,0,3,13.5,8.3,-18,79.3,-94.45,0.06,189,2.3,0,0,0,0,71,-156
2013,5,28,12,0,3,13.5,5.3,-5,79.3,-94.45,0.26,189,2.3,0,0,0,0,71,-156
2013,6,28,12,0,3,13.5,1.8,1,79.3,-94.45,1.37,189,2.3,0,0,0,0,71,-156
2013,7,28,12,0,3,13.5,5.5,5,79.3,-94.45,2.97,189,2.3,0,0,0,0,71,-156
2013,8,28,12,0,3,13.5,5.6,5,79.3,-94.45,2.12,189,2.3,0,0,0,0,71,-156
2013,9,28,12,0,3,13.5,2.6,2,79.3,-94.45,2.38,189,2.3,0,0,0,0,71,-156
2013,10,28,12,0,3,13.5,5.1,-5,79.3,-94.45,2.87,189,2.3,0,0,0,0,71,-156
2013,11,28,12,0,3,13.5,7.9,-17,79.3,-94.45,0.6,189,2.3,0,0,0,0,71,-156
2013,12,28,12,0,3,13.5,3.1,-23,79.3,-94.45,1.56,189,2.3,0,0,0,0,71,-156
2014,1,28,12,0,3,13.5,3.2,-23,79.3,-94.45,0.51,189,2.3,0,0,0,0,71,-156
2014,2,28,12,0,3,13.5,1.2,-21,79.3,-94.45,1.59,189,2.3,0,0,0,0,71,-156
2014,3,28,12,0,3,13.5,1.3,-21,79.3,-94.45,0.71,189,2.3,0,0,0,0,71,-156
2014,4,28,12,0,3,13.5,8.3,-18,79.3,-94.45,0.06,189,2.3,0,0,0,0,71,-156
2014,5,28,12,0,3,13.5,5.3,-5,79.3,-94.45,0.26,189,2.3,0,0,0,0,71,-156
2014,6,28,12,0,3,13.5,1.8,1,79.3,-94.45,1.37,189,2.3,0,0,0,0,71,-156
2014,7,28,12,0,3,13.5,5.5,5,79.3,-94.45,2.97,189,2.3,0,0,0,0,71,-156
2014,8,28,12,0,3,13.5,5.6,5,79.3,-94.45,2.12,189,2.3,0,0,0,0,71,-156
2014,9,28,12,0,3,13.5,2.6,2,79.3,-94.45,2.38,189,2.3,0,0,0,0,71,-156
2014,10,28,12,0,3,13.5,5.1,-5,79.3,-94.45,2.87,189,2.3,0,0,0,0,71,-156
2014,11,28,12,0,3,13.5,7.9,-17,79.3,-94.45,0.6,189,2.3,0,0,0,0,71,-156
2014,12,28,12,0,3,13.5,3.1,-23,79.3,-94.45,1.56,189,2.3,0,0,0,0,71,-156
